Filename,Content
Random Variable (Probability).md,"Random Variable (Probability).md

Given a sample space S, it's a rule that associates a number with each outcome in $S$. 

> [!summary] GPT's Example
> Imagine you're at a carnival, and there's a game where you throw a ball at a set of cans. The number of cans you knock down will determine the prize you get.
> 
> *[[Sample Space]] (S)*: This is like the entire set of all possible outcomes from throwing the ball. In this case, it's every possible combination of cans that could be knocked down (including knocking none at all).
> 
> *Experiment*: The act of throwing the ball and seeing how many cans fall is the experiment.
> 
> *Random Variable (rv)*: This is like the person at the booth who watches your throw and then assigns points to you based on the number of cans you knock down. This ""rule"" of assigning points is the random variable.

X(s) = x means that x is the value associated with the outcome s by the $rv\ X$

Example2.2 Consider the experiment in which a telephone number in a certain area code is dialed using a random number dialer (such devices are used extensively by polling organisations), and define an $rv$ $Y$ by:

$$
Y = \begin{cases} 
1 & \text{if the selected number is unlisted} \\
0 & \text{if the selected number is listed in the directory}
\end{cases}
$$

For example, if 5282966 appears in the telephone directory, then Y(5282966) = 0, whereas Y(7727350) = 1 tells us that the number 7727350 is unlisted. A word description of this sort is more economical than a complete listing, so we will use such a description whenever possible. 

**Discrete RV**: is a countable, integer RV.
**Continuous RV**: The decimal possibilities of RVs. Interestingly, the $P(X=x) = 0$. Why? Well because there's an infinite amount of CRVs between $a$ and $b$, that the possibility of hitting a specific one is nothing. 

> [!summary] Proposition:
> For any two numbers $a$ and $b$ with $a \leq b$,
> $P(a \leq X \leq b) = F(b) - F(a-)$ 
> 
> where ""$a-$"" represents the largest possible $X$ value that is strictly less than $a$. 
> 
> In particular, if the only possible values are integers and if $a$ and $b$ are integers, then $P(a \leq X \leq b) = P(X = a \text{ or } a + 1 \text{ or ... or } b) = F(b) - F(a - 1)$
> 
> Taking $a = b$ yields $P(X = a) = F(a) - F(a - 1)$ in this case."
Concepts (Language).md,"Concepts (Language).md

### What:
When referring to [[Language]], we divide the world into classes of things in our speech. We do this:
- Decreases the amount we need to learn, perceive and remember. If you tell me you got a cat, I'd already know what it's like
- Allows generalisations and predictions
- Helpful for communication"
Lurking Variable.md,"Lurking Variable.md

### What:
When making [[(Machine Learning) Models|models]], you often have to decide what features to include. A variable that affects the result but wasn't included is a ***Lurking Variable***.

### Example:
If you're modelling plant height based off time alive (only), then water fed would be a lurking variable."
Symmetry in Calculus.md,"Symmetry in Calculus.md

> [!note] Even Functions
> ***Even Functions*** are functions that are symmetric about the ***y axis***. They're called this because all exponential functions with an even power follow this rule. ($x^2,x^4,x^6$). Mathematically:
> $$f(-x)=f(x)$$

Contrastingly:
> [!note] Odd Functions
> ***Odd Functions*** are functions that are symmetric about the ***origin***. Exponential functions with an odd power follow this rule ($x^3, x^5, x^7$). 
> $$f(-x)=-f(x)$$"
(MIPS) Assembly Language.md,"(MIPS) Assembly Language.md

> [!warning] Note:
> This page refers specifically to the MIPS-flavoured Assembly Language. Click here to read more about the [[MIPS (Architecture)]]. Alternatively you can also read about [[OS Memory Management (x86)|x86 assembly]].
### What?
It's an (extremely low-level) programming language that corresponds closely to the commands of an [[ISA (Architecture)]]. As such programming language, it's human readable. The mapping from [[MIPS (Architecture)]] and MIPS Assembly Language is 1-1. What does that mean? At the end of the day, the (ISA) instructions you feed into a computer are just 1s and 0s. Assembly is a symbolic representation of MIPS which is a representation of machine instructions. 

### The Assembler:
The rest of this page is the syntax and how to code the coding language. But how do we actually ***convert*** the ***""human readable""*** (it's still fucking hard to understand) coding language *into machine code* - 1's and 0's? That's the assembler. 

### Instruction Breakdown:
- ***R-Type:*** `operator $destination, $source1, $source2`
	- EG: `add $t0, $t1, $t2   # $t0 = $t1 + $t2`
- ***I-Type:*** `operator $destination, $source, immediate`
	- EG: `addi $t0, $t1, 5    # $t0 = $t1 + 5`
- ***Memory Access:*** `operator $destination/source, offset($base)`
	- EG: ` lw $t0, 4($t1)      # Load word from address ($t1+4) into $t0`
	- EG: ` sw $t0, 8($t1)      # Store word from $t0 to address ($t1+8)`

### Note on `BEQ $address` works:
> [!danger] Note on how `BEQ` registers work
> When BEQ has a label, it's actually how many instructions away from the current instruction it is (i.e. 3 instructions down). To get the byte address, we [[Shifting|left shift]] it by 2 (i.e. multiply it by 4 to get its byte address from the current spot). 

### Note on how `j-type` instructions work:
Unlike BEQ, `j-type` contain the absolute address 

### [[Registers]] Conventions
- Program variables are held in \$s0-$s7
- Temporary variable es inside a method call: \$t0-$t9
- Registers \$a0-$a3 are used for passing arguments into functions.
- Register $zero is legit hardwired to 0
- There's a Program Counter (PC). This literally just keeps track of the instruction to execute for the [[CPU - Processor Components|CPU]]
- There's other special ones lol. 
- Also check [this](https://chat.openai.com/share/2090904c-2f27-4215-83fe-efc9d1b6be9f) conversation for a better idea. 
 
![[Screenshot 2023-09-28 at 3.42.01 p.m..png|400]]


### Operating on stuff > 32 bits? 
If you have a list and are reading in billions of entries, you can't store those in [[Registers]]. Instead, you store them in [[(Computer) Memory Conceptually|memory]]. The way to transfer the two? Data Transfer Instructions. You can store an array's memory's address into the register. 

### Set if Less Than (SLT), Branch if EQual (BEQ):
You can use the following keywords to perform basic comparisons:
- SLE - Set if Less or Equal to
- SGT - Set if Greater Than
- SGE - Set if Greater than or Equal to
- SEQ - Set if EQual to
- SNE - Set if Not Equal to
![[Screenshot 2023-10-15 at 12.54.05 p.m..png|400]]

### Assembly Example:
```Assembly
slt $t0, $s0, $s1 # Sets t0 to 1 if true, else to 0 if not.
beq $t0, $zero, l1 # If above was set to 0, jump to L1
and $s3, $s2, $s1 # Perform bitwise AND 
j l2 
l1: or $s3, $s2, $s1 # Perform bitwise OR
l2:
```

### Method Calls:
In [[Python]] or [[Java]], there's the ability to declare a function somewhere and call it somewhere else. [[MIPS (Architecture)]] does this in a roundabout way. 

We use `jal label` to Jump-And-Link to a specific label. The use of the *And-Link* bit? It sets \$ra to where you were before you left jumped. Then, whenever you want to return to wherever you were before the method call, simply run `jr ra`.

##### Convention for 'Method Calls':
The following isn't true in MIPS by default. We have to write the code so that it is. 
- Typically store *'parameters'* to \$a0 - $a3
- Typically store *'return values'* to $v0 and $v1
- Registers $s0 - $s7 *are stored* across call boundaries.
- Registers $t0 - $t9 *aren't stored* across call boundaries. 

### The Stack Within MIPS:
The[[Stack vs Heap|stack]] is a concept that's incredibly useful within MIPS. It's also fairly complicated. Read more about it in [[The Stack's Use in MIPS]]"
INF2C - Introduction to Computer Systems (ICS).md,"INF2C - Introduction to Computer Systems (ICS).md

### Topics Covered:
- [[CPU - Processor Components]]
- [[Data Representation or Types]]
- [[MIPS (Architecture)]]
- [[ISA (Architecture)]]
- [[(MIPS) Assembly Language]]"
Compiler.md,"Compiler.md

## What?
It's a program that ***translates*** an executable program in one [[C (Programming Language)|language]] into an executable program in another. Ideally, it improves the program (in some way) in the process. It's different from an [[Interpreter]].

### What's the Point?
It allows us to code in one language and execute it in another.
#### What other functions does it have?
- Must recognise legal (and illegal) programs, and spit them out as errors if so. 
- Must generate correct machine code. 
- Must store machine code and variables.


### Traditional 2-Step Compiler:
![[Screenshot 2025-01-19 at 6.37.02 p.m..png]]
- The [[Compiler Frontend|Frontend]] transforms the code into an *Internal Representation* (IR).
	- It also checks for correctness.
- The backend takes that representation, optimises and then converts it to machine code. 

#### Examples:
- [[C (Programming Language)|C]] is typically compiled into [[(MIPS) Assembly Language|Assembly]]. (This would be going from a [[Computer Science|programming language]] to the [[ISA (Architecture)]])."
Heap (Data Structure).md,"Heap (Data Structure).md

> [!warning] Careful!
** This page refers to the [[Balanced Search Trees|tree-like]] [[Data Structures|data structure]], not the part in memory as referred to by the page [[Stack vs Heap|Heap]].
\
### What do they look like?
They're generally quite similar to [[Balanced Search Trees|tree data structures]]. You index / build them out from left to right. They look like below (includes Max Heap and Min Heap):
![[Screenshot 2023-10-31 at 1.01.25 p.m..png|380]] ![[Screenshot 2023-10-31 at 1.02.03 p.m..png|300]]

### Representing as an Array:
Like in the blue image above, they're easily represented as an array. The neat thing? If you have the index $i$ of a value in the array, you can get its children or parent indices by the below:
- *Left Child* is at: $2 \cdot i+1$
- *Right Child* is at: $2\cdot i+2$
- *Parent* is at: $(i-1)//2$ (floor division)
- *Leaves* are: $A[\lfloor \frac{n}{2}\rfloor + 1: n]$


### Properties of them (Max specifically):
- ***Parent $\ge$ either of its children nodes***.
- ***The largest element is always at the root***.
- ***Complete binary Tree***: Every layer (except possible the last) is completely filled with children. 
- ***Height of a node***: The number of edges on the from there to the leaf. EG $h(T)=h(0)$ (the root of tree on left) is 2. 

### What's the point?
Enables [[HeapSort]]"
Dynamic Programming.md,"Dynamic Programming.md

### What?
Similar to [[Greedy Algorithms]], it's a methodology for solving *optimisation problems*. It involves:
- **Breaking the problem into subproblems** that (ideally) repeat several times in the larger problem.
	- Each problem is ordered from smallest to largest.
- Designing the optimal solution so that it's (ideally) **repeatedly constructed from the optimal solutions of the subproblems**.
	- The optimal solution of the subproblems can be constructed from the optimal solutions of the sub-sub-problems. (***Optimal Substructure***)
- **Storing the Subproblem solutions**: ([[Memoization]])"
Format Strings Exploit.md,"Format Strings Exploit.md

## Background?
Again, a different flavour of [[Buffer Overflow Attack|buffer overflows]]. String formatting functions can take a variable amount of parameters. EG: `printf(""Hey {0} {1}! Today is {2}..."", arg_0, arg_1, ..., arg_n)`. The [[The Stack's Use in MIPS|stack's]] representation of that looks like this:

![[Pasted image 20241111123318.png|150]]

## Ok... So how?
If an attacker is able to pass the actual string to be formatted, then the string format function is vulnerable. Using the code below, an adversary could print the next 4 values of the stack and then print the print the stack value as a pointer.

```cpp
printf(""%08x.%08x.%08x.%08x|%s"");
```"
Handy Probability Axioms or Properties.md,"Handy Probability Axioms or Properties.md

Properties, where: P(A) is the probability, S is the [[Sample Space]], 

![[Screenshot 2023-11-01 at 4.21.59 p.m..png|250]]
![[Screenshot 2023-11-01 at 4.23.27 p.m..png|250]]
![[Screenshot 2023-11-01 at 4.24.06 p.m..png|250]]"
Exponents.md,"Exponents.md

A fundamental concept in [[Calculus]]. 

When dealing with exponents, smart people defined the number $e$.

> [!define] Definition of e
> The slope of the function $e^t$ at any point $t$ is $e$. 

Consider the function $a^t$. An alternative (and often preferable) way of writing that is $e^{ct}$, where $c$ is $ln(a)$. 

### Formula for Exponents:
> [!Note] Formula:
> 
> $$P(t) = P_{0}e^{kt}$$
> Where:
> - $P(t)$ is the value at *time* $t$, 
> - $P_0$ is the *initial starting value*, 
> - $k$ is the *growth constant*. 
> 
> If the growth constant is $ln(a)$, then the function is multiplying by $a$ each iteration. For example, if it's $ln(2)$, the function is constantly doubling. 


Also a note:
> [!tip] Note
> When a variable's [[Rate of Change]] is directly proportional to itself, the variable is an exponential."
Business Plan Presentation.md,"Business Plan Presentation.md

---
quickshare-date: 2023-05-12 16:00:03
quickshare-url: ""https://noteshare.space/note/clhkoq8av913001pjf0n01zoo#Zh5NEp7VQEnLpd516S2V/hiiaGO5jPjXE0meaQZ6jy0""
---
> [!Brief] Brief
> FS-AI teams must assume that they have been approached to tender for an AI system which is to go into production within 24 months. The AI system is for a new Autonomous Driving System Vehicle which operates at SAE level 4 in a city centre environment moving people from the outskirts of the city centre into the heart of the city centre on defined route

We originally came up with Movar, described below:
> [!green] Movar Description
 A business plan presentation for [[Statics]] where you have to come up with a suitable business plan and pitch it to potential investors. 
 The business plan has to be centered around an *autonomous system* that transports  people from the outskirts of [[Edinburgh]] to the city center. 

### Where it started:
It started as a ""time-share"" for your car. You got to own a luxury vehicle for certain times of the day. You would select when you want the car at your disposal and at those times the car would just... show up. Then you'd hop in and automatically your [[Spotify]] would start playing, your climate preference would apply and calendar would be brought up. 

From there, you'd choose on the app where (of your favourite locations) you'd like to go. And voilá! Your car would automatically drive yourself to that location. 

### Changes Needed:
Unfortunately, we found it quite hard to find a decent target market for this. As a result, we changed it to be for... **Buses**!! 

### Bovar Script (Software bit):
#### Inputs Slide:
- So here's a simplified version of how our software operates
- We take a range of data from our various sensors around the bus, as well as the predfined route chosen by operators.

#### Perception Slide:
- We feed these inputs into a neural net architecture that provides the backbone for a variety of other actions related to perception and understanding what's around the car. 
- Many of these functions are heavily interconnected and recurrent. On the vision side,  our segmentation, object detection and sensor fusion algorithms are heavily interdependent, allowing us quick visualisation of what's actually going on around the car.
- On the localisation side, we use [[SLAM]] to constantly have updated maps of the world around us, as well as to better orientate the car within it's surroundings.

#### Planning & Control Slide:
- This section of our stack is responsible for creating and evaluating the best path forward for making progress on the road. 
- We do this with a variety of functions. Based on hard coded rules we have, like follow the speed limits, direct obstacles etc, we plan routes progressing the road. We evaluate these routes and assess these risks on a variety of factors. 
- Once we have the route planned, we evaluate the path, factoring risk, inherant uncertainty, and  latency. 
- We then determine determine the controls for the actuator which...

#### Actuator Slide:
- ... Then gets fed into the actually controlling the actuators. 



### Hardware Brainstorming Specifically for BPP:
[[Sensors for AV's]]
- [[Lidar]]?
	- What do we need?
	- 5 Lidar per bus
	- We're long distance, transport poverty areas focused, primarily focused on west lothian and fife direction. 
	- 5 routes per area (2 areas -> West lothian and Fife council), 5 buses per route. 
- [[Radar]]?
	- 8 radar. 1 each corner 1 each middle? Why because we said so. Imogen was right :( ... Maybe next time check your notes leo you muppet. 
	- Delphi ESR
- [[Ultrasonic Sensors]]:
	- Not needed - Exec decision by Imogen!
- [[Cameras]]:
	- Triton 5.4 MP. They've already been used on buses. 

### [[Software for AVs|Software:]]




## Cruise Feedback:
The entire feedback can be found [[Cruise Feedback|here]]. It boils down the below. 
### Things to refine / improve:
- Costings. You must consider all other types of costs. These include:
	- NRE, maintenence, testing, cleaning, customer support, telemtry etc.
	- Mounting is too low. More like 5-10K. 
	- 20k for computer is too much. More like 10k.
- Hammer home the idea we're solving transport poverty. Better justifcation for using buses. 
	- Ask ourselves, what problem are we solving by choosing buses? Are we actually improving sustainability?
- Have a 2-3 year plan with ***justifcation*** - in fact, have justification for everything. Remember to utilise handout. 

### Things to add:
- How many people people we plan to serve within a time frame
- Using that and the cost of operating, calculate expected revenue + business model.
- Growth over time
	- How can we reduce sensors over time
	- Fleet growth over time
- (According to Cruise) Be upfront with investors about challenges. 
- Justification for having an electric bus / change to a hydrogen bus. 
- Local council / governance. 
- Include a map on transport links page. 
- Define the exact size of the bus

### Things to remove:
- Do not 3D print stuff
- Reduce the amount on Software :(
- Condense Sensors to a single slide

### Outstanding Questions for Cruise:
- Is our current sensor setup unreasonable? (Show include slides / screenshots / descriptions)
	- Do we have too many Lidars / Radar?
- What role does a production / assembly line look like for AV's
	- This is something I'd like to have a sitdown with Grace over the clarification of the rules
- (Imo's) Once we flesh out the finances, can we get a sanity check on the numbers? 
[[Exact Questions for Cruise]]



#### Grace's Homework:
- A list of everything that specifically needs to change, any structure
- Also anything we need anything that"
Trigonometric Identities.md,"Trigonometric Identities.md

Useful for [[Calculus]]
![[Pasted image 20240301141452.png|500]]
![[Pasted image 20240301141504.png|500]]
![[Pasted image 20240301141517.png|500]]"
Sensors for AV's.md,"Sensors for AV's.md

- [[Lidar]]
- [[Radar]]
- [[Ultrasonic Sensors]]
- [[Cameras]]

#### Reading Links:
- What sensors are used + their purpose (Under ""How does the car see"" [link](https://mindy-support.com/news-post/how-machine-learning-in-automotive-makes-self-driving-cars-a-reality/#:~:text=and%20grouping%20objects.-,Wrap%2Dup,decide%20what%20actions%20to%20take.))"
Model Parrallelism.md,"Model Parrallelism.md

### What:
- Model layers are split across GPU's
- Each GPU processes a portion of the model
- Requires more complex sync code
- Useful for incredibly large models that don't fit on a single GPU"
Computer Science.md,"Computer Science.md

> [!caution] Why Bother?
> *I've [[Learning|learned]] to code at 13 (started on Scratch!)*. It's been a significant part of my life. For what? It's incredibly fun. Building something, seeing it come to life and then watching it morph as you constantly tinker on it and poke holes. 

### What is it though?
- The study of [[Algorithms|algorithms]], [[Data Structures|data structures]], and [[Databases|computer systems]] to solve problems effectively and efficiently.  
- Roots in [[Maths]], [[Combinational and Sequential Logic Blocks|Logic]] and [[Software Engineering|engineering]]. 

> [!hint] Fun Thought
> Computer Science ≠ Programming.  
> It's more like understanding the building blocks of how *everything digital* works. 🧠

> I don't add to this page, so there's ***a lot more*** topics floating in my obsidian space that ***aren't linked here***.  


### Some good Stuff I found recently:
- Harvard has their infamous [CS50](https://cs50.harvard.edu/x/2023/) course on Youtube."
Statistical Preliminaries.md,"Statistical Preliminaries.md

It's ways of describing your data.

### Ideas within it:
- [[Sample Mean]]
- [[Sample Median]]
- [[Skew]]
- [[Variance and Standard Deviation]]
- [[Scaling]]
-"
Algorithms.md,"Algorithms.md

It's a *method* or *recipe* for solving various problems. 

Euclid's greatest common divisor algorithm from over 2000 years ago is still one of the best ways of getting the GCD. 

### Related Topics:

- [[Asymptotic Bounding (Big O)]]
- [[CYK Algorithm]]
- [[Dijkstra's Algorithm]]
- [[Dynamic Programming]]
- [[Efficiency in Algorithms]]
- [[Greedy Algorithms]]
- [[Heap (Data Structure)]]
- [[HeapSort]]
- [[Knapsack Problem]]
- [[Topological Ordering]]
- [[Vertex Cover]]"
Interval Scheduling.md,"Interval Scheduling.md

### What:
Imagine you have a given set of requests guitar notes. They all have different durations and start at different times. We want to schedule the notes such that the most amount of unique notes play, but none overlap. 

### Why even care about this problem?
It's a pretty clean example of [[Greedy Algorithms]]. By consistently making the small decisions that benefit you now, it compounds to be the best solution for the answer.

### Solution:
- For each note, select the note that *finishes* first.
- Remove all other notes that have a conflict with this note. 

### Proof:
Yeh I didn't write it here. It's on the open course."
Coding Interviews.md,"Coding Interviews.md

## Resources:
- Complete [75 Leetcodes](https://docs.google.com/spreadsheets/d/1A2PaQKcdwO_lwxz9bAnxXnIQayCouZP6d-ENrBz_NXc/edit?gid=0#gid=0)
-"
Computer Vision.md,"Computer Vision.md

A type of [[AI|Machine Learning]] focused on getting models to accurately predict and classify the things they see. How do they work?

### How Does it Work?


### Ways people messed with it:
- ***People try fuck with the roads:*** Vision is just [[(Machine Learning) Models|probabalistic models]]. What if people put mathematically specific pieces of tape [on stop signs](https://globalnews.ca/news/3654164/altered-stop-signs-fool-self-driving_cars/)? Then they're be perceived as *""Go straight on""*"
Expected Value of a Function of a Continuous Random Variable.md,"Expected Value of a Function of a Continuous Random Variable.md

Similar to both [[Expected Values]] and [[Expected Values of Continuous Random Variables]]. This, by contrast, is looking at the average value of some function $g(x)$. Why is this useful? Well $g(x)$ could be $x^2$, which is a measure related to the variance of $x$.

###### Formula:
$E(g(x)) = \int_{-\infty}^{\infty}g(x) \cdot PDF(x)\ dx$"
Lists.md,"Lists.md

### What? Duh. 
A type of [[Data Structures]] where you have a collection of items. Depending on the programming language, be it [[Python]] or [[Java]], you could have different implementations of these in memory.

### Typical Desirables in All Implementations:
Depending on the type of implementation you choose, they will always take different [[Time Complexity]]. 
- .get
- .append
- .insert

### Fixed Length Arrays:
So, [[Fixed Length Arrays]] are typically of fixed length $m$. The time complexities can be as follows:
- `.get(i)` -> $\Theta(1)$
	- Also true for `.set() .append() .length()`
- `.insert(i)` -> $\Theta(n)$. 
	- Why? Because the arrays are fixed length, you have to copy a brand new one with the updated integer. 
	- Also true for `.cons() .delete()`
##### Advantages of FLA:
- Rapid `.get()` and `.set()` -> Especially if this is on the [[Stack vs Heap|Stack]].  
- Fixed, predictable size
##### Disadvantages:
- Doesn't cope well for `len(list)` > $m$. 
- Also, if $n$ is variable, then it will over- or under-cater ([[Data Overflow]]). 

### Extensible Arrays:
It's similar to a Fixed Length Array but different in a key way. If array $A$ overflows, you replace it with a bigger one! If, in [[(Computer) Memory Conceptually]], there's space directly after where $A$ was, you can just continue on. This is free and cheap. 

But what if there's no space after $A$? You have to make a fresh array B and then perform what you wanted to on it. 
##### Time Complexity of Extensible Arrays:
Ok. So most times you can just continue on in memory ($\Theta(1)$). But what about the times you have to copy a brand new array into somewhere new in memory? $\Theta(n)$. This seems like a dirty implementation, but the cost of a bad time complexity is spread out (read [[Amortised Cost|amortised]]) over all the good ones. 

### [[Linked Lists]]:
Read more in the page


![[Screenshot 2023-10-14 at 11.08.44 a.m..png]]"
Quantifiers.md,"Quantifiers.md

These are:
- Universal Quantifier -> ""For all"" -> $\forall$
- Existential Quantifier -> ""For some"", ""For at least one"", ""there is"", -> $\exists$
	- $\exists !$ is the uniqueness quantifier -> ""There exists one and only one""
- ""Many""
- ""None""

The first two have the highest precedence. 
![[Screenshot 2023-09-20 at 12.23.07 p.m..png]]

### Bounded
If a variable has a quantifier, then it is **bound**. Variables in a proposition must have a bound for it to qualify as a proposition. 

Additionally, you can [[Nested Quantifiers]]"
DNS Cache Poisoning.md,"DNS Cache Poisoning.md

## What?
Ideally, you give a DNS server [[Name Server]] a false address record and get it cached. Then, when a user makes a request to that DNS server, the cache is your fake record! Boom, the user, unbeknownst to them, is now a victim.

### How did the Attacker do it?
1. At some point, some name server asks for the IP address of some domain.
	1. E.g. ISP sends out `request 123` asking for `google.com`.
2. We (malicious actors) send a bunch of request responses to ISP, trying to brute force the potential `request ID`'s.
	1. E.g. We (malicious) send 100 requests, from `request 80` -> `request 150`, all saying that `google.com` is at our `Evil IP`. 
3. If any of those hit, then we got our `Evil IP` cached on the ISP's name server.

### More about the query:
- The `Query ID` is often a randomised, 16-bit identifier and return port. 
- So if we spammed it, then you may have a decent chance at guessing it.

### Taking it 1 step further:
- What if the someone requests `123random.google.com`? Since it's not in the cache, it does DNS to find the authoritative name server. 
- What if you set up a name server that knows `123random.google.com`? This leads them to a compromised server. 

### Defences against it:
- ***Port Randomisation AND Request Randomisation:*** The identifier can be spammed, but what if we randomise the source port? Then the chances of guessing that also drops.
- ***Limit Cache Lifetime (TTL - Time To Live):*** Minimises impact of poisoned cache by expiring records quickly. 
- ***Rate Limiting:*** Limits the number of [[Domain Name System (DNS)|DNS]] responses processed per second from the same source.
- **DNSSec**"
Arithmetic Overflow.md,"Arithmetic Overflow.md

## Arithmetic Overflow
In a similar vain to [[Buffer Overflow Attack]], thanks to [[2s Complement Representation]], if you add 1 to $\infty$ you get $-\infty$. 

### Example:
```cpp title:""Arithmetic Overflow"" 
int catvars(char *buf1, char *buf2,
            unsigned int len1, unsigned int len2) {
    char mybuf[256];
    if ((len1 + len2) > 256) {
        return -1;
    }
    memcpy(mybuf, buf1, len1);
    memcpy(mybuf + len1, buf2, len2);
    do_some_stuff(mybuf);
    return 0;
}
```"
Asymptotic Bounding (Big O).md,"Asymptotic Bounding (Big O).md

> [!tldr] TLDR:
> Get the [[Time Complexity]] by suppressing constant factors (too system dependent) and lower order terms and constants (irrelevant for larger inputs / as approaches $\infty$). The big five are *Big O, Little o, Big Omega, Little omega, Big Theta*.

There's 5 different bounds we can measure against to get an idea for how much time an [[Algorithms|algorithm]] will take:

> [!info] What is $n_0$?
> The point at which the asymptotic bounding of a function becomes true. 

> [!note] Also:
> You can also say $g(n)$ is $f(n)_{best}$. That is refer to specific worst/best case scenario of a different algorithm. 


### 1. **Big O Notation (Upper Bound)**:
- **Notation:** $O(f(n))$
- **Definition:** $f(n)=O(g(n))$ if there exist positive constants $c$ and $n_0$​ such that $0≤f(n)≤c⋅g(n)$ for all $n>n_0$​.
- **Textbook Defintion**: $∃C>0,∃N,∀n≥N:f(n)≤Cg(n)$
- **Intuition:** Big O notation gives an upper bound on the growth rate of an algorithm, describing the worst-case scenario.
- **Simply:** $f(n)$ grows no faster than $g(n)$
- **Example:** $f(n)=2n^2+3n+1=O(n^2)$

### 2. **Big Omega Notation (Lower Bound)**:
- **Notation:** $Ω(f(n))$
- **Definition:** $f(n)=Ω(g(n))$ if there exist positive constants $c$ and $n_0$​ such that $0≤c⋅g(n)≤f(n)$ for all $n>n_0$. 
- **Textbook Definition**: $∃C>0,∃N,∀n≥N:f(n)≥Cg(n)$
- **Intuition:** Big Omega notation gives a lower bound on the growth rate of an algorithm, describing the best-case scenario.
- **Simply**: $f(n)$ grows no slower than $g(n)$
- **Example**:$f(n)=2n^2+3n+1=\Omega(n^2)$

### 3. **Big Theta Notation (Tight Bound)**:
- **Notation:** $Θ(f(n))$
- **Definition:** $f(n)=Θ(g(n))$ if and only if $f(n)=O(g(n))$ and $f(n)=Ω(g(n))$.
- **Textbook Definition**: $∃C_1​>0,∃C_2​>0,∃N,∀n≥N:C_1g(n)≤f(n)≤C_2​g(n)$
- **Intuition:** Big Theta notation gives both an upper and lower bound on the growth rate of an algorithm, describing the average-case scenario.
- **Example**: $f(n)=2n^2+3n+1=\Theta(n^2)$
- **Fun Fact**: It's commutable

### 4. **Little o Notation (Upper Bound, but not Tight)**:
- **Notation:** $o(f(n))$
- **Definition:** $f(n)=o(g(n))$ if for every constant $c>0$, there exists a constant $n_0$​ such that $0≤f(n)<c⋅g(n)$ for all $n>n_0$.
- **Textbook Definition**: $∀C>0,∃N,∀n≥N:f(n)<Cg(n)$
- **Intuition:** Little o notation gives an upper bound like Big O, but it is not tight. It indicates that $f(n)$ grows strictly slower than $g(n)$.
- **Example**: $f(n)=n=o(n^2)$ (I.E. $n^2$ grows faster than $n$)

### 5. **Little omega Notation (Lower Bound, but not Tight)**:
- **Notation:** $ω(f(n))$
- **Definition:** $f(n)=ω(g(n))$ if for every constant $c>0$, there exists a constant $n_0$​ such that $0≤c⋅g(n)<f(n)$ for all $n>n_0$.
- **Textbook Definition**: $∀C>0,∃N,∀n≥N:f(n)>Cg(n)$
- **Intuition:** Little omega notation gives a lower bound like Big Omega, but it is not tight. It indicates that $f(n)$ grows strictly faster than $g(n)$.
- **Example**: $f(n)=n^2=\omega(n)$ (I.E. $n^2$ grows slower than $n$)


> [!check] Difference between Big and little?
> The Big $O$, $\Omega$, $\Theta$ all give you exact time limit of a function. They're *hard* bounded (E.G. $<=n$). They're the ""at most / at least"". 
> 
> **Whereas** the Little $o$, $\omega$ are the equivalent of saying ""Strictly Less/Greater Than"". (E.G. $<n$)


> [!danger] Weird Quirk:
> Say an algorithm's Big O is $n$ (the amount of time it will take is $<= n$). It would also be true to say that it has a time complexity of $n^2$ and $n^3$. It's less informative and we tend to only be interested in the most *tightest* bound for an algorithm we can get. 
### Properties:
##### Transitivity:
If upper bound of f(n) is g(n) and upper bound of g(n) is h(n), then upper limit of f(n) is h(n). It's the same (but opposite) for lower bound. 

##### Summation of Bounds:
If you sum 2 functions with the same bound, you get back the same bound. 

### Examples:
![[Screenshot 2023-09-29 at 3.14.10 p.m..png|500]]"
Encryption.md,"Encryption.md

## Speed. I am Speed.
We care about efficiency. One of the ways we do this is by using [[Asymmetric Encryption]] to securely send over the [[Symmetric Encryption|symmetric keys]]. (The latter is quicker.)

## What makes a secure encryption?
- Ideally an enemy can't make their own secret *key*.
- Ideally an enemy can't recover the entire plaintext *m*.
- Ideally an enemy can't recover *any* of the plaintext *m*.

## The attacker may have access to:
- Some plaintext
- Some cipher text / plain text pairs
- They may have access to the encryptor (*encryption oracle*) that can encrypt plain text. 
- They likely would only have a realistic amount of compute.

## WTF do we do with Keys?
Good question lol. 

### What's Malleability in Encryption:
If an attacker can change the ciphertext in such a way that it ***predictably*** changes the then decrypted plaintext, the encryption is malleable. 

## Types of Encryption
- [[Symmetric Encryption]]
- [[Asymmetric Encryption]]"
n Choose r Notation.md,"n Choose r Notation.md

Represents the number of subsets of size r that can be chosen from a set with n elements. The equivilent to $\frac{n!}{r!(n-r)!}$. Can also mean combinations."
The Beginning?.md,"The Beginning?.md

This is the start of your new notetaking jooruney with [[How to use Obsidian]]"
Anonymity.md,"Anonymity.md

### What? (Based on [[Computer Security|CSEC]])
- Not disclosing a user's identity. (Wed Oct 23rd lecture).  

### How?
Hiding your activities among other people's similar activity."
Efficiency in Algorithms.md,"Efficiency in Algorithms.md

### What makes an algorithm more efficient?:
- Faster
- More flexible
- [[Parallel Computing]]

### How?
Know the mathematical basis, you can get a more efficient algorithm. 

### Related Topics:
- [[Modular Exponentiation]]"
